T,Fullname,player 1,player 2,player 3,player 4,player 5,KDA 1,KDA 2,KDA 3,KDA 4,KDA 5,Rank KDA 1,Rank KDA 2,Rank KDA 3,Rank KDA 4,Rank KDA 5,MVP 1,MVP 2,MVP 3,MVP 4,MVP 5,Rank MVP 1,Rank MVP 2,Rank MVP 3,Rank MVP 4,Rank MVP 5
NTTU,ĐH Nguyễn Tất Thành,NTTU.DATuan,NTTU.UyVũ,NTTU.Yuki,NTTU.LTK,NTTU.Saru,3.25,3.5,2.6,7.33,0,#1of DSL,#1 of JUG,#2 of MID,#1 of ADL,#1 of SUP,7.35,6.8,6.83,7.58,0,#2 of DSL,#1 of JUG,#1 of MID,#2 of ADL,#1 of SUP
TN,Tây Ninh,TN.Vyxjnk,TN.Night,TN.Logicalist,TN.DChua,TN.ThuậnemSr,2.38,2.82,0,3.44,0,#2 of DSL,#2 of JUG,#1 of MID,#2 of ADL,#2 of SUP,8.55,8,0,9.2,0,#1 of DSL,#2 of JUG,#2 of MID,#1 of ADL,#2 of SUP
